UniProt	GeneSymbol	ChEMBL	PrefName	TaxID	Organism
Q13887	KLF5	CHEMBL1293249	Kruppel-like factor 5	9606	Homo sapiens
O81014	ISPE	CHEMBL1293253	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, chloroplastic	3702	Arabidopsis thaliana
P02791	FTL	CHEMBL1293254	Ferritin light chain	9796	Equus caballus
P15428	HPGD	CHEMBL1293255	15-hydroxyprostaglandin dehydrogenase [NAD+]	9606	Homo sapiens
P40225	THPO	CHEMBL1293256	Thrombopoietin	9606	Homo sapiens
P51570	GALK1	CHEMBL1293257	Galactokinase	9606	Homo sapiens
P84022	SMAD3	CHEMBL1293258	Mothers against decapentaplegic homolog 3	9606	Homo sapiens
Q03137	Epha4	CHEMBL1293259	Ephrin type-A receptor 4	10090	Mus musculus
Q5J463	tem-1	CHEMBL1293260	Beta-lactamase	321314	Salmonella choleraesuis (strain SC-B67)
Q8VNN2	lacZ	CHEMBL1293264	Beta-galactosidase	562	Escherichia coli
Q9BPW0	PPP5C	CHEMBL1293265	Serine/threonine-protein phosphatase	9606	Homo sapiens
Q9HC29	NOD2	CHEMBL1293266	Nucleotide-binding oligomerization domain-containing protein 2	9606	Homo sapiens
Q9HC97	GPR35	CHEMBL1293267	G-protein coupled receptor 35	9606	Homo sapiens
A3EZJ3	NS3	CHEMBL1293269	NS3	11103	Hepatitis C virus
B9W6M3	CNA1	CHEMBL1293271	Serine/threonine-protein phosphatase	573826	Candida dubliniensis (strain CD36 / CBS 7987 / NCPF 3949 / NRRLY-17841) (Yeast)
C3TRK2	dnaK_1	CHEMBL1293272	Chaperone protein dnaK	562	Escherichia coli
Q15056	EIF4H	CHEMBL1293274	Eukaryotic translation initiation factor 4H	9606	Homo sapiens
O00167	EYA2	CHEMBL1293275	Eyes absent homolog 2	9606	Homo sapiens
O14924	RGS12	CHEMBL1293276	Regulator of G-protein signaling 12	9606	Homo sapiens
O15118	NPC1	CHEMBL1293277	Niemann-Pick C1 protein	9606	Homo sapiens
O75496	GMNN	CHEMBL1293278	Geminin	9606	Homo sapiens
O97161	TPx-1	CHEMBL1293279	Thioredoxin peroxidase	6183	Schistosoma mansoni
P03211	EBNA1	CHEMBL1293281	Epstein-Barr nuclear antigen 1	10377	Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)
P04618	rev	CHEMBL1293282	Protein Rev	11706	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)(HIV-1)
P05866	rev	CHEMBL1293283	Protein Rev	11705	Human immunodeficiency virus type 1 group M subtype B (isolate WMJ22)(HIV-1)
P09372	grpE	CHEMBL1293284	Protein grpE	83333	Escherichia coli K-12
P0A6C1	nfo	CHEMBL1293285	Endonuclease 4	83333	Escherichia coli K-12
P11940	PABPC1	CHEMBL1293286	Polyadenylate-binding protein 1	9606	Homo sapiens
P14735	IDE	CHEMBL1293287	Insulin-degrading enzyme	9606	Homo sapiens
P0CY54	bchC	CHEMBL1293288	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase	1061	Rhodobacter capsulatus
P25440	BRD2	CHEMBL1293289	Bromodomain-containing protein 2	9606	Homo sapiens
P35561	Kcnj2	CHEMBL1293290	Inward rectifier potassium channel 2	10090	Mus musculus
P46154	fdhA	CHEMBL1293291	Glutathione-independent formaldehyde dehydrogenase	303	Pseudomonas putida
P48048	KCNJ1	CHEMBL1293292	ATP-sensitive inward rectifier potassium channel 1	9606	Homo sapiens
P48145	NPBWR1	CHEMBL1293293	Neuropeptides B/W receptor type 1	9606	Homo sapiens
P51151	RAB9A	CHEMBL1293294	Ras-related protein Rab-9A	9606	Homo sapiens
P54578	USP14	CHEMBL1293295	Ubiquitin carboxyl-terminal hydrolase 14	9606	Homo sapiens
P61981	YWHAG	CHEMBL1293296	14-3-3 protein gamma	9606	Homo sapiens
P9WMN3	glmU	CHEMBL1293297	Bifunctional protein glmU	1773	Mycobacterium tuberculosis
Q01453	PMP22	CHEMBL1293298	Peripheral myelin protein 22	9606	Homo sapiens
Q03164	KMT2A	CHEMBL1293299	Histone-lysine N-methyltransferase MLL	9606	Homo sapiens
Q9FD53	mvaD	CHEMBL1293300	Diphosphomevalonate decarboxylase	373153	Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466)
Q05BA5	Ncoa3	CHEMBL1293301	Nuclear receptor coactivator 3	10090	Mus musculus
Q17339	gld-1	CHEMBL1293302	Female germline-specific tumor suppressor gld-1	6239	Caenorhabditis elegans
Q194T2	NS	CHEMBL1293303	Nonstructural protein 1	382835	Influenza A virus
G5EF15	pos-1	CHEMBL1293304	Cytoplasmic zinc-finger protein	6239	Caenorhabditis elegans
Q5A7N4	TPT1	CHEMBL1293308	Likely tRNA 2'-phosphotransferase	237561	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
Q653V4	B1153E06.13-1	CHEMBL1293309	Os06g0676700 protein	39947	Oryza sativa Japonica Group
Q6QLK5	env	CHEMBL1293311	Envelope glycoprotein gp160	11676	Human immunodeficiency virus 1
Q8IL11	LAP	CHEMBL1293313	M17 leucyl aminopeptidase	36329	Plasmodium falciparum 3D7
Q92560	BAP1	CHEMBL1293314	Ubiquitin carboxyl-terminal hydrolase BAP1	9606	Homo sapiens
Q9FD70	mvaE	CHEMBL1293315	Acetyl-CoA acetyltransferase/HMG-CoA reductase	1351	Enterococcus faecalis
Q9HBX9	RXFP1	CHEMBL1293316	Relaxin receptor 1	9606	Homo sapiens
Q9NR56	MBNL1	CHEMBL1293317	Muscleblind-like protein 1	9606	Homo sapiens
Q9XUB2	mex-5	CHEMBL1293319	Zinc finger protein mex-5	6239	Caenorhabditis elegans
Q9Y570	PPME1	CHEMBL1293320	Protein phosphatase methylesterase 1	9606	Homo sapiens
Q8TE23	TAS1R2	CHEMBL1613741	Taste receptor type 1 member 2	9606	Homo sapiens
Q7RTX0	TAS1R3	CHEMBL1613742	Taste receptor type 1 member 3	9606	Homo sapiens
Q7WZI7	stx1	CHEMBL1615343	Shiga toxin 1 variant A subunit	83334	Escherichia coli O157:H7
O00255	MEN1	CHEMBL1615381	Menin	9606	Homo sapiens
Q9Y6Q9	NCOA3	CHEMBL1615382	Nuclear receptor coactivator 3	9606	Homo sapiens
P55011	SLC12A2	CHEMBL1615383	Solute carrier family 12 member 2	9606	Homo sapiens
Q9H2X9	SLC12A5	CHEMBL1615384	Solute carrier family 12 member 5	9606	Homo sapiens
Q13951	CBFB	CHEMBL1615386	Core-binding factor subunit beta	9606	Homo sapiens
Q15788	NCOA1	CHEMBL1615387	Nuclear receptor coactivator 1	9606	Homo sapiens
Q9UBE0	SAE1	CHEMBL1615388	SUMO-activating enzyme subunit 1	9606	Homo sapiens
Q8TDS5	OXER1	CHEMBL1628461	Oxoeicosanoid receptor 1	9606	Homo sapiens
Q8NEC5	CATSPER1	CHEMBL1628462	Cation channel sperm-associated protein 1	9606	Homo sapiens
Q9H1D0	TRPV6	CHEMBL1628465	Transient receptor potential cation channel subfamily V member 6	9606	Homo sapiens
Q9NZQ8	TRPM5	CHEMBL1628468	Transient receptor potential cation channel subfamily M member 5	9606	Homo sapiens
Q8TD43	TRPM4	CHEMBL1628469	Transient receptor potential cation channel subfamily M member 4	9606	Homo sapiens
Q9BX84	TRPM6	CHEMBL1628470	Transient receptor potential cation channel subfamily M member 6	9606	Homo sapiens
Q9NSD7	RXFP3	CHEMBL1628472	Relaxin-3 receptor 1	9606	Homo sapiens
Q8TDU9	RXFP4	CHEMBL1628473	Relaxin-3 receptor 2	9606	Homo sapiens
Q6GMR7	FAAH2	CHEMBL1628475	Fatty-acid amide hydrolase 2	9606	Homo sapiens
P78348	ASIC1	CHEMBL1628477	Amiloride-sensitive cation channel 2, neuronal	9606	Homo sapiens
P51788	CLCN2	CHEMBL1628478	Chloride channel protein 2	9606	Homo sapiens
P35414	APLNR	CHEMBL1628481	Apelin receptor	9606	Homo sapiens
Q8WXD0	RXFP2	CHEMBL1628482	Relaxin receptor 2	9606	Homo sapiens
P0A4A3	rpsL	CHEMBL1641336	30S ribosomal protein S12	100226	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
Q3S5C3	sugE	CHEMBL1641337	Efflux transporter	108619	Salmonella newport
Q48435	bla	CHEMBL1641338	Class C beta-lactamase CMY-36	573	Klebsiella pneumoniae
Q48435	LAT-2	CHEMBL1641338	Class C beta-lactamase CMY-36	573	Klebsiella pneumoniae
B8R6A5	penB1	CHEMBL1641339	PenB class A beta-lactamase	95486	Burkholderia cenocepacia
P43828	metG	CHEMBL1641340	Methionyl-tRNA synthetase	71421	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)
P23395	metG	CHEMBL1641341	Methionyl-tRNA synthetase	300852	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)
P23920	metG	CHEMBL1641342	Methionyl-tRNA synthetase	1422	Geobacillus stearothermophilus
O13332	AUR1	CHEMBL1641343	Inositol phosphorylceramide synthase	237561	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
P36107	AUR1	CHEMBL1641344	Inositol phosphorylceramide synthase catalytic subunit AUR1	559292	Saccharomyces cerevisiae S288c
Q9Y745	aur1	CHEMBL1641345	Aureobasidin-resistance protein	746128	Neosartorya fumigata
Q5TIX5	atpE	CHEMBL1641346	Putative uncharacterized protein atpE	1772	Mycobacterium smegmatis
Q4U2R8	SLC22A6	CHEMBL1641347	Solute carrier family 22 member 6	9606	Homo sapiens
Q8TCC7	SLC22A8	CHEMBL1641348	Solute carrier family 22 member 8	9606	Homo sapiens
Q8RL90	ampC	CHEMBL1641350	Beta-lactamase	287	Pseudomonas aeruginosa
Q29RK2	PC	CHEMBL1641351	Pyruvate carboxylase, mitochondrial	9913	Bos taurus
Q3UVX5	Grm5	CHEMBL1641352	Metabotropic glutamate receptor 5	10090	Mus musculus
P24928	POLR2A	CHEMBL1641353	DNA-directed RNA polymerase II subunit RPB1	9606	Homo sapiens
O54754	Aox1	CHEMBL1641354	Aldehyde oxidase	10090	Mus musculus
Q9Z0U5	Aox1	CHEMBL1641355	Aldehyde oxidase	10116	Rattus norvegicus
P80456	AOX1	CHEMBL1641356	Aldehyde oxidase	9986	Oryctolagus cuniculus
Q5FB27	AOX1	CHEMBL1641357	Aldehyde oxidase	9541	Macaca fascicularis
Q93LQ9	KPC-2	CHEMBL1641358	Beta-lactamase	573	Klebsiella pneumoniae
P41233	Abca1	CHEMBL1641361	ATP-binding cassette sub-family A member 1	10090	Mus musculus
Q13609	DNASE1L3	CHEMBL1649048	Deoxyribonuclease gamma	9606	Homo sapiens
Q62120	Jak2	CHEMBL1649049	Tyrosine-protein kinase JAK2	10090	Mus musculus
P06307	CCK	CHEMBL1649050	Cholecystokinin	9606	Homo sapiens
Q14451	GRB7	CHEMBL1649051	Growth factor receptor-bound protein 7	9606	Homo sapiens
P13500	CCL2	CHEMBL1649052	C-C motif chemokine 2	9606	Homo sapiens
P15813	CD1D	CHEMBL1649053	Antigen-presenting glycoprotein CD1d	9606	Homo sapiens
Q9I7A8	def	CHEMBL1649054	Peptide deformylase	208964	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)
C0IX24	CA2	CHEMBL1649055	Carbonic anhydrase	50429	Stylophora pistillata
P05046	LE1	CHEMBL1649056	Lectin	3847	Glycine max
P01138	NGF	CHEMBL1649058	Beta-nerve growth factor	9606	Homo sapiens
Q86Y07	VRK2	CHEMBL1649059	Serine/threonine-protein kinase VRK2	9606	Homo sapiens
E2R517	GCGR	CHEMBL1649060	Uncharacterized protein	9615	Canis familiaris
Q1A7N1	TRPM8	CHEMBL1667665	Transient receptor potential M8 protein	9615	Canis familiaris
B5THE3	Sis	CHEMBL1667666	Sucrase-isomaltase	10090	Mus musculus
P23780	Glb1	CHEMBL1667667	Beta-galactosidase	10090	Mus musculus
P70699	Gaa	CHEMBL1667668	Lysosomal alpha-glucosidase	10090	Mus musculus
Q70YI1	mip	CHEMBL1667669	Outer membrane protein MIP	446	Legionella pneumophila
P42225	Stat1	CHEMBL1667670	Signal transducer and activator of transcription 1	10090	Mus musculus
Q9EYV8	vanXB2	CHEMBL1667671	D,D-dipeptidase	1352	Enterococcus faecium
Q7BI95	vanYB2	CHEMBL1667672	D,D-carboxypeptidase	1352	Enterococcus faecium
Q09GQ4	ABC1	CHEMBL1667673	ATP binding cassette transporter Abc1p	4909	Issatchenkia orientalis
Q9HZK0	nagZ	CHEMBL1667674	Beta-hexosaminidase	208964	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)
Q0VTR6	adc-14	CHEMBL1667675	ADC-14 protein	48296	Acinetobacter genomosp. 3
Q0VTR8	adc-16	CHEMBL1667676	ADC-16 protein	48296	Acinetobacter genomosp. 3
Q0VTS0	adc-18	CHEMBL1667677	ADC-18 protein	48296	Acinetobacter genomosp. 3
Q2XPY6	blaCTX-M-53	CHEMBL1667678	Extended-spectrum beta-lactamase CTX-M-53	356621	Salmonella enterica subsp. enterica serovar Westhampton
Q840M4	blaCTX-M-27	CHEMBL1667680	Beta-lactamase CTX-M-27	562	Escherichia coli
Q9R744	pbp2	CHEMBL1667681	PBP2	1280	Staphylococcus aureus
Q6Q793	NA	CHEMBL1667683	Neuraminidase	266827	Influenza A virus
A5Z252	NA	CHEMBL1667684	Neuraminidase	440390	Influenza A virus
Q2LFS1	NA	CHEMBL1667685	Neuraminidase	365124	Influenza A virus
C4LRQ6	NA	CHEMBL1667686	Neuraminidase	648213	Influenza A virus
P06787	CMD1	CHEMBL1667687	Calmodulin	559292	Saccharomyces cerevisiae S288c
Q08I33	blaIND-6	CHEMBL1667689	Metallo-beta-lactamase IND-6	253	Chryseobacterium indologenes
O08498	blaB1	CHEMBL1667692	Carbapenem-hydrolyzing beta-lactamase BlaB-1	238	Flavobacterium meningosepticum
C8YUV9	blaCTX-M-71	CHEMBL1667693	Extended spectrum beta-lactamase CTX-M-71	573	Klebsiella pneumoniae
Q2PUH3	blaCTX-M-15	CHEMBL1667694	Beta-lactamase AH27 CTX-M-15	573	Klebsiella pneumoniae
C7C422	blaNDM-1	CHEMBL1667695	Beta-lactamase NDM-1	573	Klebsiella pneumoniae
Q3Y6Q3	blaVIM-2	CHEMBL1667696	Metallo-beta-lactamase VIM-2	573	Klebsiella pneumoniae
Q5GN09	vim-1	CHEMBL1667697	Metallo-beta-lactamase	573	Klebsiella pneumoniae
O50979	resT	CHEMBL1667698	Telomere resolvase resT	224326	Borrelia burgdorferi (strain ATCC 35210 / B31 / CIP 102532 / DSM4680)
P9WKK7	icl	CHEMBL1667699	Isocitrate lyase	1773	Mycobacterium tuberculosis
D6NSM8	ampC	CHEMBL1667701	ADC-11	470	Acinetobacter baumannii
P56470	LGALS4	CHEMBL1671608	Galectin-4	9606	Homo sapiens
Q96HE7	ERO1A	CHEMBL1671609	ERO1-like protein alpha	9606	Homo sapiens
P00727	LAP3	CHEMBL1671610	Cytosol aminopeptidase	9913	Bos taurus
P00186	Cyp1a2	CHEMBL1671611	Cytochrome P450 1A2	10090	Mus musculus
P14927	UQCRB	CHEMBL1671612	Cytochrome b-c1 complex subunit 7	9606	Homo sapiens
Q9WV26	AGTR1	CHEMBL1671613	Type-1 angiotensin II receptor	10141	Cavia porcellus
Q08775	Runx2	CHEMBL1681609	Runt-related transcription factor 2	10090	Mus musculus
Q6NSN2	mao	CHEMBL1681610	Amine oxidase [flavin-containing]	7955	Danio rerio
P49683	PRLHR	CHEMBL1681611	Prolactin-releasing peptide receptor	9606	Homo sapiens
Q2FD83	qacEdelta1	CHEMBL1681612	QacEdelta1 SMR family efflux pump	470	Acinetobacter baumannii
P37340	mdtK	CHEMBL1681613	Multidrug resistance protein mdtK	83333	Escherichia coli (strain K12)
P31224	acrB	CHEMBL1681614	Acriflavine resistance protein B	83333	Escherichia coli (strain K12)
P9WPP7	cyp121	CHEMBL1681615	Cytochrome P450 121	1773	Mycobacterium tuberculosis
P0A0I7	agrA	CHEMBL1681616	Accessory gene regulator protein A	1280	Staphylococcus aureus
P48302	Ednrb	CHEMBL1681617	Endothelin receptor ET-B	10090	Mus musculus
P36551	CPOX	CHEMBL1681618	Coproporphyrinogen-III oxidase, mitochondrial	9606	Homo sapiens
P06132	UROD	CHEMBL1681619	Uroporphyrinogen decarboxylase	9606	Homo sapiens
P0A017	folA	CHEMBL1681620	Dihydrofolate reductase	1280	Staphylococcus aureus
Q53I59	PDEC	CHEMBL1681621	Cyclic nucleotide specific phosphodiesterase	5693	Trypanosoma cruzi
Q06241	vanX	CHEMBL1681622	D-alanyl-D-alanine dipeptidase	1352	Enterococcus faecium
Q96W81	cyp51B	CHEMBL1681624	14-alpha sterol demethylase	746128	Neosartorya fumigata
Q27758	luc	CHEMBL1681625	Firefly luciferase	7054	Photinus pyralis
P70269	Ctse	CHEMBL1681627	Cathepsin E	10090	Mus musculus
Q62640	Grid1	CHEMBL1681629	Glutamate receptor delta-1 subunit	10116	Rattus norvegicus
Q06347	reverse	CHEMBL1681630	Reverse transcriptase	11709	Human immunodeficiency virus 2
Q06347	transcriptase	CHEMBL1681630	Reverse transcriptase	11709	Human immunodeficiency virus 2
O75608	LYPLA1	CHEMBL1681631	Acyl-protein thioesterase 1	9606	Homo sapiens
P00591	PNLIP	CHEMBL1687677	Pancreatic triacylglycerol lipase	9823	Sus scrofa
O04373	ILL4	CHEMBL1687678	IAA-amino acid hydrolase ILR1-like 4	3702	Arabidopsis thaliana
P43694	GATA4	CHEMBL1687679	Transcription factor GATA-4	9606	Homo sapiens
Q08369	Gata4	CHEMBL1687680	Transcription factor GATA-4	10090	Mus musculus
Q99593	TBX5	CHEMBL1687681	T-box transcription factor TBX5	9606	Homo sapiens
Q15878	CACNA1E	CHEMBL1687682	Voltage-dependent R-type calcium channel subunit alpha-1E	9606	Homo sapiens
Q5TKS5	fabI	CHEMBL1687683	Enoyl-ACP reductase	1280	Staphylococcus aureus
Q64546	CYP11B3	CHEMBL1687684	Cytochrome P450c11B3	10116	Rattus norvegicus
P76558	maeB	CHEMBL1687685	NADP-dependent malic enzyme	83333	Escherichia coli (strain K12)
Q8MU52	GST	CHEMBL1697656	Glutathione S-transferase	5833	Plasmodium falciparum
Q08752	PPID	CHEMBL1697657	Peptidyl-prolyl cis-trans isomerase D	9606	Homo sapiens
P33302	PDR5	CHEMBL1697658	Pleiotropic ABC efflux transporter of multiple drugs	559292	Saccharomyces cerevisiae S288c
Q50575	pncA	CHEMBL1697663	PYRAZINAMIDASE/NICOTINAMIDAS PNCA (PZase)	1773	Mycobacterium tuberculosis
Q9ZHK8	pzaA	CHEMBL1697664	Nicotinamidase/pyrazinamidase	1772	Mycobacterium smegmatis
Q93SP7	pncA	CHEMBL1697665	PYRAZINAMIDASE/NICOTINAMIDAS PNCA (PZase)	1765	Mycobacterium bovis
D5HSX5	blaPER-6	CHEMBL1697666	Extended-spectrum beta-lactamase PER-6	656	Aeromonas allosaccharophila
P62744	Ap2s1	CHEMBL1697667	AP-2 complex subunit sigma	10116	Rattus norvegicus
Q9Y6L6	SLCO1B1	CHEMBL1697668	Solute carrier organic anion transporter family member 1B1	9606	Homo sapiens
P19022	CDH2	CHEMBL1697669	Cadherin-2	9606	Homo sapiens
P49764	Pgf	CHEMBL1697670	Placenta growth factor	10090	Mus musculus
P49763	PGF	CHEMBL1697671	Placenta growth factor	9606	Homo sapiens
P53624	alpha-Man-Ia	CHEMBL1697673	Mannosyl-oligosaccharide alpha-1,2-mannosidase isoform B	7227	Drosophila melanogaster
Q9NP99	TREM1	CHEMBL1697674	Triggering receptor expressed on myeloid cells 1	9606	Homo sapiens
Q47066	bla	CHEMBL1697675	Beta-lactamase Toho-1	562	Escherichia coli
Q3I4V7	CAN2	CHEMBL1697676	Carbonic anhydrase 2	178876	Cryptococcus neoformans var. grubii
Q9I194	pvdQ	CHEMBL1741161	PvdQ	557722	Pseudomonas aeruginosa (strain LESB58)
O15305	PMM2	CHEMBL1741162	Phosphomannomutase 2	9606	Homo sapiens
O60240	PLIN1	CHEMBL1741164	Perilipin-1	9606	Homo sapiens
O75030	MITF	CHEMBL1741165	Microphthalmia-associated transcription factor	9606	Homo sapiens
P08679	CIT2	CHEMBL1741170	Citrate synthase, peroxisomal	559292	Saccharomyces cerevisiae S288c
P9WHJ3	recA	CHEMBL1741171	Protein RecA	1773	Mycobacterium tuberculosis
P0CX82	RPL19A	CHEMBL1741172	60S ribosomal protein L19-A	559292	Saccharomyces cerevisiae S288c
P11411	zwf	CHEMBL1741173	Glucose-6-phosphate 1-dehydrogenase	1245	Leuconostoc mesenteroides
P13798	APEH	CHEMBL1741174	Acylamino-acid-releasing enzyme	9606	Homo sapiens
P14904	APE1	CHEMBL1741175	Vacuolar aminopeptidase 1	559292	Saccharomyces cerevisiae S288c
P17861	XBP1	CHEMBL1741176	X-box-binding protein 1	9606	Homo sapiens
P25376	AGP1	CHEMBL1741178	General amino acid permease AGP1	559292	Saccharomyces cerevisiae S288c
P31941	APOBEC3A	CHEMBL1741179	Probable DNA dC->dU-editing enzyme APOBEC-3A	9606	Homo sapiens
P32897	TIM23	CHEMBL1741180	Mitochondrial import inner membrane translocase subunit TIM23	559292	Saccharomyces cerevisiae S288c
P41948	MEP2	CHEMBL1741183	Ammonium transporter MEP2	559292	Saccharomyces cerevisiae S288c
P47154	STE24	CHEMBL1741185	CAAX prenyl protease 1	559292	Saccharomyces cerevisiae S288c
P51449	RORC	CHEMBL1741186	Nuclear receptor ROR-gamma	9606	Homo sapiens
P52292	KPNA2	CHEMBL1741187	Importin subunit alpha-2	9606	Homo sapiens
P55789	GFER	CHEMBL1741189	FAD-linked sulfhydryl oxidase ALR	9606	Homo sapiens
P63279	UBE2I	CHEMBL1741191	SUMO-conjugating enzyme UBC9	9606	Homo sapiens
P9WMR3	dnaB	CHEMBL1741192	Replicative DNA helicase	1773	Mycobacterium tuberculosis
P83916	CBX1	CHEMBL1741193	Chromobox protein homolog 1	9606	Homo sapiens
P87108	TIM10	CHEMBL1741194	Mitochondrial import inner membrane translocase subunit TIM10	559292	Saccharomyces cerevisiae S288c
P98073	TMPRSS15	CHEMBL1741195	Enteropeptidase	9606	Homo sapiens
Q07953	SDO1	CHEMBL1741198	Ribosome maturation protein SDO1	559292	Saccharomyces cerevisiae S288c
Q2TB90	HKDC1	CHEMBL1741200	Putative hexokinase HKDC1	9606	Homo sapiens
Q4Q090	PGAM	CHEMBL1741202	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	5664	Leishmania major
Q61009	Scarb1	CHEMBL1741203	Scavenger receptor class B member 1	10090	Mus musculus
Q66ET0	dnaK	CHEMBL1741204	Chaperone protein DnaK	273123	Yersinia pseudotuberculosis serotype I (strain IP32953)
Q6LX38	hsp60	CHEMBL1741205	Chaperonin GroEL (Thermosome, HSP60 family)	267377	Methanococcus maripaludis (strain S2 / LL)
Q96LD8	SENP8	CHEMBL1741207	Sentrin-specific protease 8	9606	Homo sapiens
Q96P20	NLRP3	CHEMBL1741208	NACHT, LRR and PYD domains-containing protein 3	9606	Homo sapiens
Q96QE3	ATAD5	CHEMBL1741209	ATPase family AAA domain-containing protein 5	9606	Homo sapiens
Q99549	MPHOSPH8	CHEMBL1741210	M-phase phosphoprotein 8	9606	Homo sapiens
Q9BHT9	G6PD-6PGL	CHEMBL1741212	Glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase	5821	Plasmodium berghei
Q9BQF6	SENP7	CHEMBL1741213	Sentrin-specific protease 7	9606	Homo sapiens
Q9C000	NLRP1	CHEMBL1741214	NACHT, LRR and PYD domains-containing protein 1	9606	Homo sapiens
Q9GZR1	SENP6	CHEMBL1741215	Sentrin-specific protease 6	9606	Homo sapiens
Q9HBY0	NOX3	CHEMBL1741216	NADPH oxidase 3	9606	Homo sapiens
Q9HC16	APOBEC3G	CHEMBL1741217	DNA dC->dU-editing enzyme APOBEC-3G	9606	Homo sapiens
Q9QUQ5	Trpc4	CHEMBL1741219	Short transient receptor potential channel 4	10090	Mus musculus
Q9UIF8	BAZ2B	CHEMBL1741220	Bromodomain adjacent to zinc finger domain protein 2B	9606	Homo sapiens
Q9Y4P1	ATG4B	CHEMBL1741221	Cysteine protease ATG4B	9606	Homo sapiens
Q94655	GR2	CHEMBL1741261	Glutathione reductase	5839	Plasmodium falciparum K1
Q7REH6	GST	CHEMBL1741263	Glutathione S-transferase	73239	Plasmodium yoelii yoelii
P41001	TOP2	CHEMBL1741266	DNA topoisomerase 2	5839	Plasmodium falciparum K1
Q14116	IL18	CHEMBL1741305	Interleukin-18	9606	Homo sapiens
P10451	SPP1	CHEMBL1741309	Osteopontin	9606	Homo sapiens
Q9NPD5	SLCO1B3	CHEMBL1743121	Solute carrier organic anion transporter family member 1B3	9606	Homo sapiens
O15244	SLC22A2	CHEMBL1743122	Solute carrier family 22 member 2	9606	Homo sapiens
P46721	SLCO1A2	CHEMBL1743123	Solute carrier organic anion transporter family member 1A2	9606	Homo sapiens
O94956	SLCO2B1	CHEMBL1743124	Solute carrier organic anion transporter family member 2B1	9606	Homo sapiens
Q16348	SLC15A2	CHEMBL1743125	Solute carrier family 15 member 2	9606	Homo sapiens
Q96FL8	SLC47A1	CHEMBL1743126	Multidrug and toxin extrusion protein 1	9606	Homo sapiens
Q86VL8	SLC47A2	CHEMBL1743127	Multidrug and toxin extrusion protein 2	9606	Homo sapiens
O15439	ABCC4	CHEMBL1743128	Multidrug resistance-associated protein 4	9606	Homo sapiens
P21439	ABCB4	CHEMBL1743129	Multidrug resistance protein 3	9606	Homo sapiens
Q16873	LTC4S	CHEMBL1743183	Leukotriene C4 synthase	9606	Homo sapiens
P10620	MGST1	CHEMBL1743184	Microsomal glutathione S-transferase 1	9606	Homo sapiens
Q99735	MGST2	CHEMBL1743185	Microsomal glutathione S-transferase 2	9606	Homo sapiens
O14880	MGST3	CHEMBL1743186	Microsomal glutathione S-transferase 3	9606	Homo sapiens
O54915	Nr1i2	CHEMBL1743244	Nuclear receptor subfamily 1 group I member 2	10090	Mus musculus
P50225	SULT1A1	CHEMBL1743291	Sulfotransferase 1A1	9606	Homo sapiens
P50226	SULT1A2	CHEMBL1743292	Sulfotransferase 1A2	9606	Homo sapiens
P0DMM9	SULT1A3	CHEMBL1743293	Sulfotransferase 1A3/1A4	9606	Homo sapiens
O43704	SULT1B1	CHEMBL1743294	Sulfotransferase family cytosolic 1B member 1	9606	Homo sapiens
O00338	SULT1C2	CHEMBL1743295	Sulfotransferase 1C2	9606	Homo sapiens
O75897	SULT1C4	CHEMBL1743296	Sulfotransferase 1C4	9606	Homo sapiens
O00204	SULT2B1	CHEMBL1743297	Sulfotransferase family cytosolic 2B member 1	9606	Homo sapiens
Q9BR01	SULT4A1	CHEMBL1743298	Sulfotransferase 4A1	9606	Homo sapiens
P19224	UGT1A6	CHEMBL1743316	UDP-glucuronosyltransferase 1-6	9606	Homo sapiens
Q9HAW7	UGT1A7	CHEMBL1743317	UDP-glucuronosyltransferase 1-7	9606	Homo sapiens
Q9HAW9	UGT1A8	CHEMBL1743318	UDP-glucuronosyltransferase 1-8	9606	Homo sapiens
O60656	UGT1A9	CHEMBL1743319	UDP-glucuronosyltransferase 1-9	9606	Homo sapiens
Q9HAW8	UGT1A10	CHEMBL1743320	UDP-glucuronosyltransferase 1-10	9606	Homo sapiens
Q9Y4X1	UGT2A1	CHEMBL1743321	UDP-glucuronosyltransferase 2A1	9606	Homo sapiens
P11707	CYP3A6	CHEMBL1743541	Cytochrome P450 3A6	9986	Oryctolagus cuniculus
P00178	CYP2B4	CHEMBL1743542	Cytochrome P450 2B4	9986	Oryctolagus cuniculus
